2	Suomen pitää olla edelläkävijä ilmastonmuutoksen vastaisessa taistelussa, vaikka se aiheuttaisi suomalaisille kustannuksia.
3	Suomen ei pidä kiirehtiä kieltämään uusien bensa- ja dieselautojen myyntiä.
4	Valtion pitää ohjata suomalaiset syömään vähemmän lihaa esimerkiksi verotuksen avulla.
5	Metsiä hakataan Suomessa liikaa.
6	Kun valtion menoja ja tuloja tasapainotetaan, se on tehtävä mieluummin menoja karsimalla kuin veroja kiristämällä.
7	Sosiaaliturvaa tulee kehittää niin, että osa nykyisistä tuista korvataan kaikille työikäisille maksettavalla, vastikkeettomalla perustulolla.
8	Euron ulkopuolella Suomi pärjäisi paremmin.
9	Sosiaali- ja terveyspalvelut on tuotettava ensisijaisesti julkisina palveluina.
10	Vanhustenhoidon ulkoistamista yksityisille toimijoille tulee lisätä.
11	Parantumattomasti sairaalla on oltava oikeus eutanasiaan.
12	Sukupuolen korjaamisen tulee olla mahdollista myös alle 18-vuotiaille.
13	Viinit ja vahvat oluet pitää saada ruokakauppoihin.
14	Energiajuomien myyminen alle 15-vuotiaille on kiellettävä.
15	Nuuskan, purutupakan ja nenänuuskan matkustajatuonnin raja lasketaan 1000 grammasta 100 grammaan vuorokaudessa.
16	Perhevapaita pitää uudistaa niin, että vapaat jakautuvat tasan vanhempien kesken.
17	Oppivelvollisuus pitää ulottaa myös ammatilliseen koulutukseen ja lukioon.
18	Koulujen kesälomia tulee siirtää kahdella viikolla niin, että ne alkavat kesäkuun puolivälissä ja päättyvät elokuun lopulla.
19	Korkeakoulujen määrää pitää vähentää ja vapautuneet voimavarat käyttää huippuopetukseen ja -tutkimukseen.
20	Maahanmuuttajien määrän kasvu on lisännyt turvattomuutta Suomessa.
21	Sosiaali- ja terveyspalveluiden rahoittaminen vaatii työperäisen maahanmuuton merkittävää lisäämistä.
22	Nato-jäsenyys vahvistaisi Suomen turvallisuuspoliittista asemaa.
23	Vihapuhe tulee määritellä ja asettaa rangaistavaksi rikoslaissa.
24	Perinteiset arvot ovat hyvän elämän perusta.
25	Suomessa tarvitaan nyt koviakin keinoja järjestyksen ja tavallisten ihmisten puolustamiseksi.
26	On oikein, että yhteiskunnassa jotkut ryhmät ovat paremmassa asemassa kuin toiset.
27	Suomen lakien pitäisi nykyistä vapaammin antaa ihmisten tehdä omat ratkaisunsa ja kantaa niiden seuraukset.
28	Poliitikon velvollisuus on ennen kaikkea ajaa omien äänestäjiensä etuja.
29	On olemassa pyhiä tai muuten yksilöä suurempia asioita, joita täytyy puolustaa silloinkin, kun se vaatii omien etujen uhraamista.
30	On oikein nähdä vaivaa sen eteen, ettei vahingossakaan loukkaa toista.
52	Uusimaa. Kaatolupia on myönnettävä nykyistä enemmän susikannan rajoittamiseksi.
53	Uusimaa. Loviisan ydinvoimalalle pitää myöntää jatkolupa vuoden 2030 jälkeenkin.
54	Uusimaa. Uudellemaalle pitää perustaa lisää osaamiskeskuksia, joissa maahanmuuttajat opiskelevat itselleen nopeasti ammatin ja oppivat kielen.
55	Uusimaa. Dragsvikin varuskunta pitää muuttaa kaksikieliseksi.
56	Uusimaa. Metro tulee jatkaa Helsingistä Sipooseen.
57	Helsinki. Kun Helsinki sulkee hiilivoimaloita, voidaan korvaavaa energiaa tuottaa ydinvoimalla.
58	Helsinki. Viranhaltijoiden kaksikielisyysvaatimuksia pitää lieventää, jotta maahanmuuttajien työllistyminen helpottuu.
59	Helsinki. Puolustusvoimien tulee luopua Santahaminan varuskuntasaaresta, jotta sinne voi rakentaa asuntoja.
60	Helsinki. Helsingin seudulla pitää ottaa käyttöön ruuhkamaksut.
61	Helsinki. Metro tulee jatkaa Helsingistä Sipooseen.
62	Varsinais-Suomi. Kaatolupia on myönnettävä nykyistä enemmän susi-, merimetso- ja hyljekantojen rajoittamiseksi.
63	Varsinais-Suomi. Tehokkain tapa vauhdittaa Varsinais-Suomen talouskasvua on myöntää Turun yliopistolle lupa perustaa teknillinen tiedekunta.
